Transaction_ID,Date,Time,Item,Transaction_Type,Amount,Customer_ID,Card_Number,Store_Number,Store_Name,City,State,Zip_Code,Product_Category
1028,2013-01-01,08:30,Food,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Grocery
1029,2013-01-01,08:30,Food,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Grocery
1030,2013-01-01,08:30,Food,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Grocery
1031,2013-01-01,08:31,Food,In-store,8.0,342,2140941914,1,Seattle Downtown,Seattle,WA,98101,Grocery
1032,2013-01-01,08:31,Food,In-store,8.0,342,2140941914,1,Seattle Downtown,Seattle,WA,98101,Grocery
1033,2013-01-01,08:31,Food,In-store,8.0,342,2140941914,1,Seattle Downtown,Seattle,WA,98101,Grocery
1034,2013-01-01,08:31,Non-consumable,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Non-consumable
1035,2013-01-01,08:31,Non-consumable,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Non-consumable
1036,2013-01-01,08:31,Drink,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Beverages
1037,2013-01-01,08:31,Drink,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Beverages
1038,2013-01-01,08:31,Food,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Grocery
1039,2013-01-01,08:31,Food,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Grocery
1040,2013-01-01,08:31,Food,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Grocery
1041,2013-01-01,08:32,Non-consumable,In-store,8.0,342,2140941914,1,Seattle Downtown,Seattle,WA,98101,Non-consumable
1042,2013-01-01,08:32,Non-consumable,In-store,8.0,342,2140941914,1,Seattle Downtown,Seattle,WA,98101,Non-consumable
1043,2013-01-01,08:32,Drink,In-store,8.0,342,2140941914,1,Seattle Downtown,Seattle,WA,98101,Beverages
1044,2013-01-01,08:32,Food,In-store,8.0,342,2140941914,1,Seattle Downtown,Seattle,WA,98101,Grocery
1045,2013-01-01,08:32,Food,In-store,8.0,342,2140941914,1,Seattle Downtown,Seattle,WA,98101,Grocery
1046,2013-01-01,08:32,Food,In-store,8.0,342,2140941914,1,Seattle Downtown,Seattle,WA,98101,Grocery
1047,2013-01-01,08:32,Non-consumable,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Non-consumable
1048,2013-01-01,08:33,Non-consumable,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Non-consumable
1049,2013-01-01,08:33,Drink,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Beverages
1050,2013-01-01,08:33,Drink,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Beverages
1051,2013-01-01,08:33,Food,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Grocery
1052,2013-01-01,08:33,Food,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Grocery
1053,2013-01-01,08:33,Food,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Grocery
1054,2013-01-01,08:33,Non-consumable,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Non-consumable
1055,2013-01-01,08:34,Non-consumable,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Non-consumable

